session_id,user_id,session_start,session_end,device_type,referral_source,zip_code,pages_viewed,bounce,converted
SID00061,UID23,2025-03-13 20:04:54,2025-03-13 20:05:54,desktop,direct,60601,6,False,True
SID00062,UID374,2025-03-30 12:17:11,2025-03-30 12:31:11,desktop,paid_search,85001,7,False,True
SID00063,UID236,2025-03-27 15:16:20,2025-03-27 15:18:20,desktop,organic,10001,3,False,False
SID00064,UID275,2025-03-05 11:32:54,2025-03-05 11:47:54,mobile,organic,10001,4,False,False
SID00065,UID64,2025-03-11 11:06:08,2025-03-11 11:08:08,mobile,paid_search,60601,1,True,False
SID00066,UID499,2025-03-02 16:38:13,2025-03-02 16:39:13,desktop,paid_search,60601,2,False,False
SID00067,UID473,2025-03-05 07:07:12,2025-03-05 07:12:12,desktop,paid_search,60601,5,False,False
SID00068,UID194,2025-03-13 15:01:31,2025-03-13 15:17:31,desktop,organic,60601,3,False,True
SID00069,UID41,2025-03-27 04:10:42,2025-03-27 04:29:42,desktop,paid_search,73301,4,False,True
SID00070,UID283,2025-03-16 12:34:17,2025-03-16 12:40:17,desktop,organic,85001,0,False,True
SID00071,UID151,2025-03-10 11:43:52,2025-03-10 11:52:52,desktop,organic,90001,1,True,False
SID00072,UID425,2025-03-23 03:56:47,2025-03-23 03:57:47,desktop,paid_search,60601,2,False,True
SID00073,UID322,2025-03-03 06:59:57,2025-03-03 07:18:57,mobile,direct,90001,3,False,False
SID00074,UID317,2025-03-14 02:35:18,2025-03-14 02:38:18,mobile,paid_search,73301,1,True,False
SID00075,UID454,2025-03-28 08:26:54,2025-03-28 08:38:54,desktop,organic,85001,3,False,True
SID00076,UID442,2025-03-05 07:09:22,2025-03-05 07:24:22,desktop,paid_search,90001,2,False,False
SID00077,UID186,2025-03-05 08:25:05,2025-03-05 08:31:05,mobile,paid_search,73301,1,True,False
SID00078,UID296,2025-03-20 07:39:02,2025-03-20 07:45:02,mobile,paid_search,60601,4,False,False
SID00079,UID99,2025-03-04 01:37:34,2025-03-04 01:45:34,desktop,paid_social,10001,1,True,False
SID00080,UID361,2025-03-18 18:49:57,2025-03-18 19:06:57,mobile,direct,90001,2,False,False
SID00081,UID36,2025-03-07 16:07:59,2025-03-07 16:11:59,mobile,paid_social,90001,4,False,False
SID00082,UID24,2025-03-02 13:24:11,2025-03-02 13:28:11,mobile,organic,10001,3,False,False
SID00083,UID339,2025-03-20 14:24:59,2025-03-20 14:25:59,mobile,organic,90001,3,True,False
SID00084,UID117,2025-03-12 08:00:37,2025-03-12 08:11:37,desktop,organic,60601,4,False,False
SID00085,UID396,2025-03-23 23:06:40,2025-03-23 23:09:40,desktop,organic,73301,3,False,True
SID00086,UID149,2025-03-02 05:37:18,2025-03-02 05:56:18,mobile,paid_search,90001,5,False,False
SID00087,UID41,2025-03-14 07:33:06,2025-03-14 07:41:06,mobile,paid_search,10001,3,True,False
SID00088,UID438,2025-03-26 04:57:24,2025-03-26 05:12:24,mobile,paid_search,60601,2,False,False
SID00089,UID120,2025-03-22 23:25:37,2025-03-22 23:30:37,desktop,paid_social,60601,2,False,False
SID00090,UID444,2025-03-19 22:30:49,2025-03-19 22:34:49,desktop,organic,90001,4,False,False
SID00091,UID52,2025-03-18 01:28:22,2025-03-18 01:47:22,mobile,paid_search,85001,3,False,False
SID00092,UID195,2025-03-29 17:46:22,2025-03-29 18:00:22,mobile,organic,85001,4,False,False
SID00093,UID143,2025-03-07 13:54:42,2025-03-07 14:05:42,tablet,organic,90001,1,True,False
SID00094,UID233,2025-03-11 00:09:07,2025-03-11 00:19:07,tablet,paid_search,73301,1,True,False
SID00095,UID326,2025-03-03 15:06:17,2025-03-03 15:20:17,mobile,organic,10001,5,True,False
SID00096,UID428,2025-03-11 07:58:17,2025-03-11 08:07:17,mobile,organic,60601,2,True,False
SID00097,UID187,2025-03-23 04:23:53,2025-03-23 04:25:53,mobile,paid_search,60601,4,False,False
SID00098,UID84,2025-03-25 11:34:18,2025-03-25 11:41:18,mobile,organic,60601,1,True,False
SID00099,UID190,2025-03-10 07:51:31,2025-03-10 08:08:31,desktop,organic,10001,3,False,True
SID00100,UID182,2025-03-13 06:01:34,2025-03-13 06:14:34,tablet,organic,73301,2,False,False
SID00101,UID108,2025-03-11 03:38:23,2025-03-11 03:57:23,desktop,paid_social,85001,4,False,False
SID00102,UID344,2025-03-06 12:18:25,2025-03-06 12:26:25,mobile,paid_search,90001,2,False,False
SID00103,UID137,2025-03-03 23:55:03,2025-03-04 00:03:03,tablet,organic,90001,8,False,True
SID00104,UID360,2025-03-01 18:36:19,2025-03-01 18:50:19,mobile,organic,10001,8,False,False
SID00105,UID480,2025-03-22 08:07:22,2025-03-22 08:26:22,mobile,organic,10001,1,True,False
SID00106,UID350,2025-03-06 12:11:37,2025-03-06 12:16:37,mobile,paid_search,90001,5,False,False
SID00107,UID332,2025-03-12 19:02:11,2025-03-12 19:12:11,mobile,organic,85001,3,False,False
SID00108,UID37,2025-03-11 15:50:54,2025-03-11 16:01:54,tablet,paid_search,10001,5,False,False
SID00109,UID312,2025-03-27 23:50:19,2025-03-28 00:08:19,desktop,direct,90001,1,True,False
SID00110,UID326,2025-03-18 19:37:59,2025-03-18 19:47:59,mobile,paid_social,10001,4,True,False
SID00111,UID88,2025-03-17 18:49:07,2025-03-17 19:02:07,desktop,organic,60601,3,False,False
SID00112,UID274,2025-03-26 04:19:30,2025-03-26 04:23:30,desktop,paid_social,90001,2,False,False
SID00113,UID374,2025-03-14 05:39:13,2025-03-14 05:41:13,desktop,paid_social,60601,3,False,False
SID00114,UID126,2025-03-24 05:51:40,2025-03-24 06:02:40,tablet,organic,10001,2,False,False
SID00115,UID84,2025-03-30 16:17:31,2025-03-30 16:34:31,tablet,organic,10001,2,False,False
SID00116,UID237,2025-03-14 06:54:56,2025-03-14 06:56:56,mobile,paid_search,10001,4,True,False
SID00117,UID195,2025-03-27 01:35:56,2025-03-27 01:51:56,desktop,paid_social,10001,3,False,False
SID00118,UID139,2025-03-30 16:14:20,2025-03-30 16:23:20,mobile,paid_social,85001,4,False,False
SID00119,UID474,2025-03-01 00:03:10,2025-03-01 00:10:10,desktop,paid_social,10001,3,False,False
SID00120,UID328,2025-03-06 11:16:55,2025-03-06 11:19:55,tablet,direct,90001,1,True,False
SID00121,UID353,2025-03-06 07:07:02,2025-03-06 07:19:02,desktop,paid_social,10001,5,False,False
SID00122,UID286,2025-03-02 15:53:30,2025-03-02 15:55:30,mobile,paid_search,10001,5,True,False
SID00123,UID113,2025-03-02 00:07:25,2025-03-02 00:24:25,mobile,paid_search,60601,1,True,False
SID00124,UID351,2025-03-06 19:04:02,2025-03-06 19:11:02,desktop,paid_search,10001,3,False,False
SID00125,UID167,2025-03-17 22:00:51,2025-03-17 22:05:51,mobile,organic,85001,2,True,False
SID00126,UID432,2025-03-15 08:56:42,2025-03-15 09:00:42,desktop,direct,10001,1,True,False
SID00127,UID394,2025-03-20 13:38:10,2025-03-20 13:46:10,desktop,direct,85001,8,False,False
SID00128,UID398,2025-03-19 02:40:19,2025-03-19 02:49:19,mobile,paid_search,85001,1,True,False
SID00129,UID29,2025-03-28 08:20:42,2025-03-28 08:23:42,desktop,paid_social,85001,2,False,False
SID00130,UID118,2025-03-25 14:31:53,2025-03-25 14:46:53,mobile,organic,60601,4,True,False
SID00131,UID421,2025-03-12 09:50:54,2025-03-12 09:59:54,mobile,paid_social,60601,2,True,False
SID00132,UID17,2025-03-02 01:30:21,2025-03-02 01:45:21,mobile,organic,10001,1,True,False
SID00133,UID413,2025-03-20 17:43:28,2025-03-20 18:01:28,desktop,paid_search,90001,4,False,False
SID00134,UID162,2025-03-30 16:57:18,2025-03-30 17:13:18,desktop,paid_search,90001,7,False,False
SID00135,UID206,2025-03-27 23:07:56,2025-03-27 23:12:56,mobile,paid_search,90001,2,False,False
SID00136,UID138,2025-03-24 20:36:59,2025-03-24 20:43:59,mobile,organic,90001,1,True,False
SID00137,UID34,2025-03-22 21:46:18,2025-03-22 21:59:18,desktop,paid_social,85001,1,True,False
SID00138,UID109,2025-03-27 03:23:05,2025-03-27 03:36:05,mobile,direct,10001,1,True,False
SID00139,UID468,2025-03-07 09:33:26,2025-03-07 09:38:26,mobile,organic,90001,3,True,False
SID00140,UID483,2025-03-22 22:24:00,2025-03-22 22:42:00,tablet,paid_search,90001,4,False,False
SID00141,UID291,2025-03-03 03:07:21,2025-03-03 03:08:21,tablet,direct,73301,3,False,False
SID00142,UID449,2025-03-04 09:18:44,2025-03-04 09:20:44,desktop,paid_social,90001,0,False,False
SID00143,UID368,2025-03-17 06:54:48,2025-03-17 07:08:48,desktop,paid_search,85001,2,False,True
SID00144,UID162,2025-03-13 09:32:42,2025-03-13 09:47:42,desktop,paid_social,73301,0,False,False
SID00145,UID109,2025-03-12 11:28:36,2025-03-12 11:34:36,mobile,organic,10001,2,True,False
SID00146,UID336,2025-03-05 07:27:40,2025-03-05 07:44:40,desktop,organic,10001,4,False,True
SID00147,UID256,2025-03-21 07:26:05,2025-03-21 07:29:05,desktop,paid_search,90001,3,False,True
SID00148,UID203,2025-03-02 03:01:49,2025-03-02 03:03:49,desktop,organic,10001,3,False,False
SID00149,UID453,2025-03-08 13:27:32,2025-03-08 13:41:32,desktop,paid_search,85001,1,True,False
SID00150,UID469,2025-03-18 11:56:40,2025-03-18 12:15:40,tablet,paid_social,60601,3,False,True
SID00151,UID330,2025-03-28 15:41:40,2025-03-28 15:42:40,tablet,organic,73301,2,False,False
SID00152,UID235,2025-03-28 23:02:54,2025-03-28 23:20:54,desktop,organic,10001,4,False,False
SID00153,UID74,2025-03-05 05:52:27,2025-03-05 06:01:27,desktop,paid_search,60601,3,False,False
SID00154,UID136,2025-03-13 01:35:39,2025-03-13 01:51:39,mobile,paid_social,73301,2,False,False
SID00155,UID72,2025-03-09 07:41:40,2025-03-09 07:51:40,mobile,paid_search,60601,0,False,False
SID00156,UID127,2025-03-19 21:37:38,2025-03-19 21:51:38,mobile,paid_search,73301,2,False,False
SID00157,UID382,2025-03-06 03:59:37,2025-03-06 04:18:37,desktop,paid_social,60601,1,True,False
SID00158,UID288,2025-03-12 07:02:01,2025-03-12 07:21:01,desktop,direct,10001,1,True,False
SID00159,UID276,2025-03-24 19:39:06,2025-03-24 19:44:06,mobile,organic,10001,4,False,False
SID00160,UID135,2025-03-06 07:51:45,2025-03-06 08:01:45,desktop,direct,90001,7,False,False
SID00161,UID383,2025-03-27 08:11:04,2025-03-27 08:19:04,desktop,organic,60601,3,False,False
SID00162,UID300,2025-03-28 19:26:16,2025-03-28 19:41:16,mobile,paid_search,90001,3,False,False
SID00163,UID220,2025-03-28 16:49:22,2025-03-28 16:57:22,mobile,paid_search,10001,4,False,False
SID00164,UID460,2025-03-19 20:11:13,2025-03-19 20:20:13,desktop,organic,60601,4,False,False
SID00165,UID299,2025-03-20 20:48:57,2025-03-20 20:59:57,desktop,paid_search,10001,2,False,False
SID00166,UID205,2025-03-26 06:11:03,2025-03-26 06:25:03,mobile,paid_search,10001,5,True,False
SID00167,UID186,2025-03-21 00:09:11,2025-03-21 00:14:11,mobile,direct,85001,2,True,False
SID00168,UID113,2025-03-14 11:49:33,2025-03-14 11:51:33,mobile,paid_search,73301,2,False,False
SID00169,UID71,2025-03-07 05:41:31,2025-03-07 05:54:31,tablet,paid_search,60601,2,False,True
SID00170,UID261,2025-03-17 16:01:19,2025-03-17 16:07:19,tablet,paid_social,90001,2,False,False
SID00171,UID253,2025-03-12 20:07:56,2025-03-12 20:25:56,desktop,paid_search,90001,1,True,False
SID00172,UID47,2025-03-23 08:15:47,2025-03-23 08:23:47,mobile,paid_social,10001,0,False,False
SID00173,UID387,2025-03-10 06:07:33,2025-03-10 06:13:33,tablet,paid_search,85001,3,False,False
SID00174,UID25,2025-03-11 05:07:10,2025-03-11 05:13:10,mobile,direct,85001,5,False,False
SID00175,UID441,2025-03-07 19:21:48,2025-03-07 19:22:48,tablet,paid_social,60601,4,False,False
SID00176,UID57,2025-03-17 13:47:19,2025-03-17 13:58:19,desktop,paid_search,73301,4,False,False
SID00177,UID79,2025-03-25 07:09:46,2025-03-25 07:21:46,mobile,paid_search,10001,4,True,False
SID00178,UID322,2025-03-30 19:23:55,2025-03-30 19:34:55,mobile,organic,73301,5,True,False
SID00179,UID82,2025-03-17 01:51:54,2025-03-17 02:04:54,mobile,paid_social,10001,2,False,False
SID00180,UID406,2025-03-14 09:41:14,2025-03-14 09:57:14,desktop,paid_search,85001,3,False,True
SID00181,UID349,2025-03-11 11:17:36,2025-03-11 11:29:36,mobile,organic,85001,2,True,False
SID00182,UID217,2025-03-29 22:06:56,2025-03-29 22:19:56,mobile,paid_social,10001,5,False,False
SID00183,UID306,2025-03-10 23:40:02,2025-03-10 23:50:02,tablet,paid_search,85001,2,False,True
SID00184,UID33,2025-03-30 22:22:33,2025-03-30 22:29:33,desktop,direct,10001,3,False,False
SID00185,UID198,2025-03-15 11:08:15,2025-03-15 11:20:15,desktop,paid_search,10001,2,False,False
SID00186,UID196,2025-03-05 15:44:41,2025-03-05 15:58:41,desktop,organic,85001,3,False,False
SID00187,UID306,2025-03-07 07:15:10,2025-03-07 07:29:10,desktop,organic,60601,5,False,True
SID00188,UID240,2025-03-20 19:30:05,2025-03-20 19:31:05,mobile,paid_search,85001,1,True,False
SID00189,UID271,2025-03-30 20:57:17,2025-03-30 21:14:17,mobile,paid_search,10001,2,False,False
SID00190,UID129,2025-03-03 23:10:59,2025-03-03 23:13:59,mobile,organic,85001,3,True,False
SID00191,UID498,2025-03-30 01:34:24,2025-03-30 01:39:24,desktop,organic,10001,4,False,True
SID00192,UID284,2025-03-21 02:38:09,2025-03-21 02:54:09,mobile,organic,90001,1,True,False
SID00193,UID441,2025-03-25 04:17:16,2025-03-25 04:36:16,desktop,organic,73301,2,False,True
SID00194,UID483,2025-03-01 23:09:43,2025-03-01 23:27:43,tablet,direct,73301,2,False,False
SID00195,UID6,2025-03-03 03:39:44,2025-03-03 03:40:44,mobile,paid_search,73301,2,True,False
SID00196,UID349,2025-03-22 23:32:02,2025-03-22 23:36:02,desktop,organic,90001,4,False,False
SID00197,UID370,2025-03-22 08:17:38,2025-03-22 08:35:38,desktop,paid_social,73301,3,False,False
SID00198,UID59,2025-03-13 08:17:56,2025-03-13 08:20:56,mobile,paid_search,60601,2,True,False
SID00199,UID350,2025-03-17 12:37:38,2025-03-17 12:51:38,mobile,organic,73301,4,True,False
SID00200,UID454,2025-03-28 21:04:15,2025-03-28 21:06:15,mobile,paid_social,73301,2,True,False
SID00201,UID275,2025-03-02 07:39:00,2025-03-02 07:52:00,desktop,organic,73301,2,False,False
SID00202,UID385,2025-03-30 15:40:52,2025-03-30 15:42:52,mobile,organic,85001,0,False,False
SID00203,UID137,2025-03-25 06:29:59,2025-03-25 06:40:59,desktop,organic,60601,1,True,False
SID00204,UID394,2025-03-10 01:26:45,2025-03-10 01:40:45,mobile,paid_search,10001,2,True,False
SID00205,UID329,2025-03-25 00:22:05,2025-03-25 00:26:05,mobile,organic,73301,2,False,False
SID00206,UID175,2025-03-25 02:54:00,2025-03-25 03:08:00,desktop,organic,73301,3,False,True
SID00207,UID58,2025-03-15 08:21:31,2025-03-15 08:31:31,desktop,direct,90001,2,False,False
SID00208,UID151,2025-03-26 20:04:58,2025-03-26 20:22:58,desktop,paid_search,85001,0,False,False
SID00209,UID223,2025-03-29 13:49:19,2025-03-29 13:53:19,desktop,organic,73301,3,False,False
SID00210,UID81,2025-03-19 04:35:55,2025-03-19 04:44:55,desktop,paid_search,60601,4,False,True
SID00211,UID233,2025-03-10 18:52:05,2025-03-10 19:00:05,mobile,direct,90001,3,False,False
SID00212,UID2,2025-03-17 08:41:57,2025-03-17 08:54:57,mobile,paid_search,60601,3,True,False
SID00213,UID489,2025-03-28 13:17:32,2025-03-28 13:25:32,mobile,paid_search,85001,0,True,False
SID00214,UID370,2025-03-22 19:12:48,2025-03-22 19:17:48,mobile,organic,60601,0,False,False
SID00215,UID449,2025-03-03 10:18:12,2025-03-03 10:29:12,desktop,paid_search,73301,3,False,False
SID00216,UID369,2025-03-23 18:47:26,2025-03-23 19:03:26,mobile,paid_social,90001,0,False,False
SID00217,UID135,2025-03-07 10:25:41,2025-03-07 10:29:41,desktop,paid_social,10001,2,False,False
SID00218,UID498,2025-03-06 02:36:29,2025-03-06 02:44:29,mobile,paid_search,90001,3,True,False
SID00219,UID257,2025-03-16 04:14:32,2025-03-16 04:31:32,desktop,direct,73301,1,True,False
SID00220,UID391,2025-03-26 03:48:35,2025-03-26 04:00:35,tablet,organic,10001,3,False,True
SID00221,UID92,2025-03-22 04:23:29,2025-03-22 04:38:29,mobile,paid_search,60601,3,False,False
SID00222,UID260,2025-03-08 14:41:14,2025-03-08 14:52:14,mobile,paid_search,73301,1,True,False
SID00223,UID468,2025-03-30 23:28:52,2025-03-30 23:43:52,desktop,paid_search,85001,1,True,False
SID00224,UID55,2025-03-19 07:01:18,2025-03-19 07:06:18,desktop,direct,60601,2,False,False
SID00225,UID446,2025-03-07 23:35:23,2025-03-07 23:47:23,mobile,organic,60601,1,True,False
SID00226,UID321,2025-03-28 22:03:00,2025-03-28 22:13:00,mobile,paid_social,90001,5,False,False
SID00227,UID153,2025-03-19 23:21:16,2025-03-19 23:31:16,desktop,paid_social,60601,3,False,False
SID00228,UID431,2025-03-14 21:55:49,2025-03-14 22:01:49,desktop,paid_social,10001,3,False,False
SID00229,UID328,2025-03-18 02:04:54,2025-03-18 02:10:54,tablet,organic,85001,3,False,False
SID00230,UID260,2025-03-19 15:13:09,2025-03-19 15:20:09,mobile,organic,73301,2,False,False
SID00231,UID312,2025-03-30 12:14:15,2025-03-30 12:33:15,mobile,organic,90001,5,False,False
SID00232,UID102,2025-03-09 10:39:39,2025-03-09 10:56:39,desktop,organic,85001,5,False,False
SID00233,UID79,2025-03-27 16:06:22,2025-03-27 16:12:22,desktop,organic,60601,4,False,False
SID00234,UID192,2025-03-18 19:12:31,2025-03-18 19:22:31,mobile,organic,73301,3,False,False
SID00235,UID391,2025-03-13 07:16:33,2025-03-13 07:19:33,desktop,organic,85001,3,False,False
SID00236,UID83,2025-03-14 11:26:55,2025-03-14 11:33:55,mobile,paid_social,85001,5,False,False
SID00237,UID277,2025-03-26 03:50:18,2025-03-26 03:54:18,desktop,paid_social,10001,2,False,True
SID00238,UID489,2025-03-11 19:21:05,2025-03-11 19:34:05,desktop,organic,60601,4,False,True
SID00239,UID399,2025-03-26 12:44:30,2025-03-26 12:48:30,desktop,paid_social,60601,2,False,False
SID00240,UID473,2025-03-07 03:11:23,2025-03-07 03:21:23,mobile,organic,90001,3,False,False
SID00241,UID272,2025-03-02 06:24:38,2025-03-02 06:41:38,mobile,paid_search,85001,3,False,False
SID00242,UID471,2025-03-27 04:02:21,2025-03-27 04:06:21,tablet,paid_search,10001,1,True,False
SID00243,UID1,2025-03-29 04:53:25,2025-03-29 05:02:25,desktop,organic,10001,3,False,False
SID00244,UID307,2025-03-17 09:36:46,2025-03-17 09:38:46,mobile,paid_search,90001,4,False,False
SID00245,UID166,2025-03-30 06:33:26,2025-03-30 06:43:26,desktop,paid_social,73301,1,True,False
SID00246,UID251,2025-03-24 16:41:59,2025-03-24 16:45:59,tablet,paid_social,10001,2,False,False
SID00247,UID10,2025-03-13 14:09:46,2025-03-13 14:18:46,mobile,organic,85001,2,False,False
SID00248,UID58,2025-03-09 00:07:54,2025-03-09 00:15:54,mobile,paid_search,90001,1,True,False
SID00249,UID476,2025-03-21 12:32:23,2025-03-21 12:51:23,desktop,organic,60601,3,False,False
SID00250,UID186,2025-03-05 15:06:40,2025-03-05 15:16:40,desktop,organic,73301,6,False,False
SID00251,UID450,2025-03-15 00:38:27,2025-03-15 00:39:27,mobile,organic,60601,3,True,False
SID00252,UID426,2025-03-16 22:13:41,2025-03-16 22:24:41,desktop,paid_social,60601,4,False,False
SID00253,UID414,2025-03-18 22:46:26,2025-03-18 22:51:26,tablet,paid_search,85001,4,False,False
SID00254,UID158,2025-03-27 18:08:24,2025-03-27 18:17:24,mobile,paid_social,90001,3,False,False
SID00255,UID123,2025-03-25 14:34:55,2025-03-25 14:37:55,mobile,paid_social,73301,4,False,False
SID00256,UID30,2025-03-04 02:37:48,2025-03-04 02:39:48,mobile,organic,73301,2,False,False
SID00257,UID124,2025-03-02 04:54:35,2025-03-02 04:55:35,desktop,paid_social,10001,5,False,False
SID00258,UID450,2025-03-04 05:32:33,2025-03-04 05:35:33,desktop,paid_search,73301,4,False,False
SID00259,UID291,2025-03-21 20:41:18,2025-03-21 20:55:18,mobile,organic,85001,0,False,False
SID00260,UID485,2025-03-27 15:40:30,2025-03-27 15:42:30,tablet,organic,10001,5,False,False
SID00261,UID41,2025-03-05 10:59:54,2025-03-05 11:07:54,desktop,paid_social,60601,3,False,False
SID00262,UID44,2025-03-22 00:14:41,2025-03-22 00:21:41,tablet,organic,10001,4,False,False
SID00263,UID375,2025-03-19 13:03:52,2025-03-19 13:09:52,mobile,paid_search,10001,2,True,False
SID00264,UID249,2025-03-13 06:14:59,2025-03-13 06:28:59,desktop,organic,10001,0,False,False
SID00265,UID418,2025-03-21 14:07:33,2025-03-21 14:11:33,desktop,organic,10001,0,False,False
SID00266,UID36,2025-03-23 08:24:23,2025-03-23 08:35:23,mobile,organic,10001,5,False,False
